title,thumbnails,description,viewCount_channel,subscriberCount_channel,viewCount_video,likeCount_video,Class
Chiefs DEFEAT 49ers In Super Bowl LVIII To Win Back-To-Back Championships I FULL RECAP I CBS Sports,https://i.ytimg.com/vi/dvny3zt5zxI/hqdefault.jpg,The CBS Sports HQ crew recap the Chiefs defeating the 49ers in Super Bowl LVIII. SUBSCRIBE TO OUR CHANNEL: ...,7.70E+08,785000,164653,981,non-crime
FLABBERGASTED! ðŸ—£ï¸ Shannon Sharpe &amp; Dan Orlovsky GO AT IT over Brock Purdy ðŸ“¢ | First Take,https://i.ytimg.com/vi/m6PtAViUZSo/hqdefault.jpg,"FLABBERGASTED! ðŸ—£ï¸ Shannon Sharpe & Dan Orlovsky GO AT IT over Brock Purdy | First Take On First Take, Stephen A.",1.28E+10,11300000,940861,12433,non-crime
NBC Sports,https://yt3.ggpht.com/enRoIMEMNQLILGljT4PIg2HwljQQ_DgSIo33XeFAi7duabuoSRioF2dRm4kjW2nSPXhqoEMBEw=s800-c-k-c0xffffffff-no-rj-mo,"NBC Sports Group serves sports fans 24/7 with premier live events, insightful studio shows, and compelling original programming.",3.14E+09,3620000,,,non-crime
12 MAT EXERCISES FOR FLAT TUMMY - KIDS WORKOUT,https://i.ytimg.com/vi/HXVzVK2gbjg/hqdefault.jpg,All these 12 exercises for kids will be done on the mat and will test the endurance of the abdominal muscle!! The little ones will be ...,1.73E+08,948000,328083,2364,non-crime
Super Bowl 2024 LIVE: Outside Allegiant Stadium after the Chiefs beat the 49ers,https://i.ytimg.com/vi/NBvM3Y-zveo/hqdefault.jpg,Live from outside Allegiant Stadium for departures and reactions after the Kansas City Chiefs beat the San Francisco 49ers in ...,3.03E+09,2640000,1095297,3085,non-crime
A Sports,https://yt3.ggpht.com/Ve4nWezHoaSvbvgaIoLVq1jsQOjx5ogIA_iFhL8fvNHyXLqFFcqi9rqvOVbHko_zsJ2oFVAkrg=s800-c-k-c0xffffffff-no-rj-mo,Pakistan's first HD sports channel.,3.04E+08,985000,,,non-crime
Beach Bunny - Sports (Official Audio),https://i.ytimg.com/vi/szeXkBYq5HU/hqdefault.jpg,Beach Bunny's New Album 'Emotional Creature' Out Now: https://beachbunnymusic.co/emotionalcreature Beach Bunny Tour ...,1.09E+08,518000,17795846,308639,non-crime
Super Sunday panel REVEAL their favourite moments from the PL season!,https://i.ytimg.com/vi/wXbWxU1VAQE/hqdefault.jpg,SUBSCRIBE â–» https://bit.ly/SubscribeSkySportsPL PREMIER LEAGUE HIGHLIGHTS â–» http://bit.ly/SkySportsPLHighlights2223 ...,3.85E+09,4790000,1204118,24855,non-crime
"49ers vs. Chiefs Live Streaming Scoreboard, Play-By-Play, Highlights, Stats | Super Bowl 58 On CBS",https://i.ytimg.com/vi/W-Mjd4KFa4s/hqdefault.jpg,"San Francisco vs. Kansas CIty Chiefs live stream with highlights, play-by-play, stats, boxscore, score updates, NFL analysis, 49ers ...",35194981,130000,2189312,14765,non-crime
1000 IQ Moments in Sports,https://i.ytimg.com/vi/AqvyzO3IPXc/hqdefault.jpg,"When a player has 1000 IQ during a play. AKA the smartest plays in sports history. When I say ""in Sports"" I am referring to ...",8.78E+08,1550000,13135977,75118,non-crime
REAL MADRID 4 - 0 GIRONA FC | RESUMEN LALIGA EA SPORTS,https://i.ytimg.com/vi/V4DuqJUDYqw/hqdefault.jpg,El Real Madrid vence con autoridad al Girona FC en el Santiago BernabÃ©u y se coloca lÃ­der en solitario. Bellingham con un ...,2.98E+09,9830000,4559667,97863,non-crime
25-Minute Victoria Sport High Impact Cardio &amp; Lower Body Workout,https://i.ytimg.com/vi/I3OIbbuZ1XE/hqdefault.jpg,Short on time? Victoria Sport ambassador Lita Lewis has a quick and effective lower-body burn for you with no equipment needed ...,1.00E+09,6230000,2280422,22444,non-crime
Best Sports Fails | Dumb Athletes,https://i.ytimg.com/vi/cdmKVXynX3I/hqdefault.jpg,Which sport fails the worst? â–»â–»â–» Submit your videos for the chance to be featured ...,3.67E+09,16800000,7883368,35439,non-crime
Viagra Boys - Sports (Official Video),https://i.ytimg.com/vi/QjL7D33xpS4/hqdefault.jpg,From the new album 'Street Worms' out 28th September: https://vb.lnk.to/streetwormsYD Listen to 'Sports': ...,49022415,158000,6833357,172731,non-crime
The All-Time Fastest Athletes In EVERY Major Sport,https://i.ytimg.com/vi/uWFv1vuPtwo/hqdefault.jpg,"Speed pays ------------------------------------------- *Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is ...",3.68E+08,631000,2622802,31197,non-crime
Greatest Sports Moments - M83 Outro (HD),https://i.ytimg.com/vi/kE7D7qFayVg/hqdefault.jpg,Best Of / Compilation of SOME of greats moments in the history of Sports. Music : M83 - Outro I DO NOT OWN THE RIGHTS TO ...,70210608,121000,16807376,216161,non-crime
Arsenal v Liverpool | Key Moments | Third Round | Emirates FA Cup 2023-24,https://i.ytimg.com/vi/UA3PkPwGtpg/hqdefault.jpg,Watch the key moments between Arsenal v Liverpool at the Emirates Stadium as The Reds go marching into the fourth round.,8.62E+08,2360000,4647813,50337,non-crime
"Super Bowl 58 Live Streaming Scoreboard, Play-By-Play, Highlights | Chiefs vs. 49ers On CBS",https://i.ytimg.com/vi/w6I-sTuDfvE/hqdefault.jpg,"Kansas City Chiefs vs. San Francisco 49ers Super Bowl 58 live stream with highlights, play-by-play, stats, score updates, and ...",1.13E+08,364000,1190867,5870,non-crime
20-Minute Victoria Sport Workout For Toned Abs and Legs,https://i.ytimg.com/vi/3TJP5a3pBME/hqdefault.jpg,Stay strong all Summer with Victoria Sport Ambassador Lindsey Harrod's 20-minute high-impact cardio workout. Tone your whole ...,1.00E+09,6230000,3174536,26607,non-crime
Sports Racing is INTENSE!!,https://i.ytimg.com/vi/1-s-xpgT7EE/hqdefault.jpg,SUBSCRIBE âž¤ http://bit.ly/SubHowRidiculous.,1.15E+10,20500000,4.91E+08,13417044,non-crime
Craziest &quot;Thinking outside the Box&quot; Moments in Sports History,https://i.ytimg.com/vi/szlhtejAMyM/hqdefault.jpg,"Craziest ""Thinking outside the Box"" Moments in Sports History BIBLE VERSE OF THE DAY: James 5:16.",2.34E+09,2260000,16480127,139103,non-crime
Impossible Moments in Sports,https://i.ytimg.com/vi/YaVp_xXotxo/hqdefault.jpg,"Impossible Moments in Sports video with you. You will love this video of Golf, Football, NBA, Tennis and Volleyball. Enjoy the ...",4.07E+08,1090000,13600168,59233,non-crime
I Tried 10 Sports In 10 Days!,https://i.ytimg.com/vi/OFNFEPxcoL0/hqdefault.jpg,I Tried 10 Sports In 10 Days! Download Math Makers here! https://bit.ly/msmunchiem Make sure to use my code â€œMSMUNCHIE30â€ ...,3.28E+08,2930000,468137,9109,non-crime
Sports - You Are The Right One (Official Music Video),https://i.ytimg.com/vi/Y_hdQXQfsNg/hqdefault.jpg,Music video by Sports performing You Are The Right One Shop: https://merch.sportsbandok.com/ Buy the Naked All The Time on ...,13727362,45300,3562755,78986,non-crime
Most Embarrassing Fails in Sports History,https://i.ytimg.com/vi/4ai4RRjRS6Q/hqdefault.jpg,"if any of the links don't work, check most recent video) TalkSports Discord: https://discord.gg/nnHbXfG Instagram: ...",6.56E+08,552000,225147,1290,non-crime
Impossible Moments in Sports - Legends and Icons,https://i.ytimg.com/vi/WRsKA2iG2fk/hqdefault.jpg,Today's video is a celebration of the all time moments and legendary athletes that defined the decades. Some of the greatest ...,4.81E+08,1490000,1239072,8975,non-crime
Greatest Sports Moments,https://i.ytimg.com/vi/o7W7OvETO40/hqdefault.jpg,"UPDATE: I AM IN THE PROCESS OF MAKING REVISIONS AND IMPROVING THIS VIDEO, SUBSCRIBE AND STAY TUNED!",56418540,58400,32956841,375502,non-crime
