title,thumbnails,description,viewCount_channel,subscriberCount_channel,viewCount_video,likeCount_video,class
Real Crime,https://yt3.ggpht.com/ytc/AIf8zZQU5VCWh8OXdEot8-TJEqK7-IexJcfR7id7qxHQ=s800-c-k-c0xffffffff-no-rj-mo,"Crime, justice, law and order... Real Crime is the perfect place to get your true crime fix! We've got all kinds of documentary ...",330171310,1490000,,,crime
Khufiya | Crime Patrol 48 Hours | Ep 63 | Full Episode | 16 Jan 2024,https://i.ytimg.com/vi/gQ0T3d9kO6Y/hqdefault.jpg,Click here to Subscribe to SET India: https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q?sub_confirmation=1 ...,159027229648,168000000,1046456,8758,crime
Case No. 101 | Crime Patrol 48 Hours | Ep 66 | Full Episode | 19 Jan 2024,https://i.ytimg.com/vi/JuVCsA3pVtc/hqdefault.jpg,Click here to Subscribe to SET India: https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q?sub_confirmation=1 ...,159027229648,168000000,364367,5160,crime
Michelle Boat and the murder of Tracy Mondabough [True Crime Documentary],https://i.ytimg.com/vi/BhIfk22gqYI/hqdefault.jpg,"In the Spring of 2020, a mother of four was found stabbed to death sitting inside her vehicle. She was parked just outside of her ...",36415992,232000,140037,7407,crime
Rangmanch | Crime Patrol 48 Hours | Ep 65 | Full Episode | 18 Jan 2024,https://i.ytimg.com/vi/yOJXd4YfLjY/hqdefault.jpg,Click here to Subscribe to SET India: https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q?sub_confirmation=1 ...,159027229648,168000000,1404727,14197,crime
When a Mom Discovers Her Son&#39;s Horrifying Secret,https://i.ytimg.com/vi/PEvQM-ji50M/hqdefault.jpg,"In today's true crime documentary, we're covering the case of Naomi Irion. [Video] [Imagery] supplied by Getty Images.",1027990790,4850000,2767953,59763,crime
Joanne Dennehy: The Making of a Serial Killer | Real Crime,https://i.ytimg.com/vi/7hINekAvgwA/hqdefault.jpg,"With exclusive access to police evidence, Susanna Reid presents the backstory and investigation into one of the Britain's most ...",330171310,1490000,41414,1351,crime
Murder suspect walks through neighborhood after allegedly stabbing journalist,https://i.ytimg.com/vi/NfRydA_eljA/hqdefault.jpg,"Shortly after reporter Jeff German was murdered on his property in Las Vegas, a person of interest was caught on camera walking ...",390818667,1230000,97545,2059,crime
JonBenét Ramsey mystery: New evidence that could lead to her killer | 60 Minutes Australia,https://i.ytimg.com/vi/e8xjvezA0ZA/hqdefault.jpg,"Child beauty queen JonBenét Ramsey is one of the most enduring cold cases in history, but new evidence ignored by police ...",2083414963,5530000,688210,18554,crime
Living With A Serial Killer: The Disturbing Case of Sean Vincent Gillis (True Crime Documentary),https://i.ytimg.com/vi/paQHOEPshso/hqdefault.jpg,"Imagine living with your ""loving"" husband for years, not knowing the horrors he inflicted upon innocent victims behind your back.",3570966370,5630000,299464,4019,crime
Crime station,https://yt3.ggpht.com/AWG-fi-16Tr249xxEYWUD0UQYezvqkiVi8smCp3zpD5NoIWoxnARncq5TXSsHO0SPwC6PMdU=s800-c-k-c0xffffffff-no-rj-mo,Бодит гэмт хэргийн подкаст.,16466816,111000,,,crime
WATCH LIVE: Missing Daughter Murder Trial – NH v. Adam Montgomery – Day 9,https://i.ytimg.com/vi/Yl2mOoTA8ko/hqdefault_live.jpg,"Adam Montgomery, the father accused of beating his 5-year-old daughter to death, faces trial for the young girl's murder. Harmony ...",43059669,188000,3715,590,crime
FULL EPISODE- 490 | Cyber crime | सावधान इंडिया | Savdhaan India Fights Back #starbharat,https://i.ytimg.com/vi/Iw99OxUI8lk/hqdefault.jpg,Click here to Subscribe *Star Bharat* : https://www.youtube.com/c/StarBharat ▻Watch More Like This ...,10121650989,13800000,34072,462,crime
Prime Crime: Young Boy Left Home Alone With His Evil Stepmom,https://i.ytimg.com/vi/0wFdlSqISZ8/hqdefault.jpg,"If you're ever injured in an accident, you can check out Morgan & Morgan. You can submit a claim in 8 clicks or less without ...",3570966370,5630000,1473838,18454,crime
True Crime: How a depraved serial killer terrorised a seaside suburb | 60 Minutes Australia,https://i.ytimg.com/vi/Y5hgpO0qiys/hqdefault.jpg,Subscribe here: http://9Soci.al/chmP50wA97J Full Episodes: https://9now.app.link/uNP4qBkmN6 | Evil Beyond Measure (2023) ...,2083414963,5530000,1049262,12722,crime
Kindness कैसे बनी एक Young Girl की सबसे बड़ी कमज़ोरी? | Crime Patrol | Inspector Series,https://i.ytimg.com/vi/jD1DChZ3NI4/hqdefault.jpg,Click here to Subscribe to SET India: https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q?sub_confirmation=1 A ...,159027229648,168000000,64660,697,crime
Prime Crime: Stepdad Turned Husband Killed with His Own Kitchen Knife,https://i.ytimg.com/vi/O7NSe8ot-5Y/hqdefault.jpg,"Police rushed to the home of Michael Redlick, an executive at the University of Central Florida, in January 2019 to find him dead ...",3570966370,5630000,1767163,17582,crime
Murder of Hollywood executive reveals dangerous double life - Crime Watch Daily Full Episode,https://i.ytimg.com/vi/_rgfScMuRNs/hqdefault.jpg,In this episode of Crime Watch Daily: Gavin Smith was a former UCLA basketball star and a FOX executive who worked on some ...,2771836192,5360000,290728,4745,crime
Stripper charged with murder of burger chain executive - Crime Watch Daily Full Episode,https://i.ytimg.com/vi/1n2Uw4p6PaA/hqdefault.jpg,In this episode of Crime Watch Daily: A man's relentless search for his brother's killer finally unveils a suspect.,2771836192,5360000,255327,4811,crime
True Crime Daily,https://yt3.ggpht.com/ytc/AIf8zZSUauwSJ6rlYKCTTjfsViOmoc_dVVzZ23u-FMb6Qw=s800-c-k-c0xffffffff-no-rj-mo,True Crime Daily delivers in-depth true crime sagas showcasing the very best of crime journalism. From unsolved murders to ...,2771836192,5360000,,,crime
Real Life Psychopaths (Crime Psychology Documentary) | Real Stories,https://i.ytimg.com/vi/wdElQtp-Bps/hqdefault.jpg,Psychopaths probably make up around 20 per cent of the prison population in both the USA and Britain. They are four times more ...,1165519493,6220000,147714,2605,crime
WATCH LIVE: Missing Mom Murder Trial – CT v. Michelle Troconis – Day 24,https://i.ytimg.com/vi/V2042FRxT3c/hqdefault_live.jpg,"Jennifer Farber Dulos vanished on May 24, 2019. Dulos, a mother of five, was in the midst of a divorce and custody battle with her ...",3570966370,5630000,312,320,crime
Killer On Camera: The Chilling Case Of Somaiya Begum,https://i.ytimg.com/vi/AJRHMPRtjSE/hqdefault.jpg,6th July 2022. Police in Bradford were out searching for a high-risk missing woman who hadn't been seen since the 25th of June.,120022798,696000,383889,9254,crime
Fatal Errors: Five Killers Who Made BIG Mistakes (True Crime Marathon) | Real Stories,https://i.ytimg.com/vi/0mco7Wlk8Bw/hqdefault.jpg,Crime series looking at the key errors made by murderers that led to their arrest. 00:00 - A look at how detectives uncovered the ...,1165519493,6220000,1619894,7133,crime
JCS - Criminal Psychology,https://yt3.ggpht.com/ytc/AIf8zZQdE-PrCgwUj_Ygk8KHiFEApbclqKgQfNatPqJtgw=s800-c-k-c0xffffffff-no-rj-mo,Forensic Psychology / True Crime / Social Science.,409635813,5500000,,,crime
The Deceitful Teen who MURDERED his Mother (Police didn&#39;t believe his lies),https://i.ytimg.com/vi/6Wuua5emLL0/hqdefault.jpg,"Following a heated argument, Gregory did his absolute best to stage the crime scene as a burglary. Thankfully, detectives were ...",301775114,1920000,453757,24364,crime
13 Stiche aus dem Hinterhalt - Eine mörderische Affäre | Im Visier | True-Crime-Podcast,https://i.ytimg.com/vi/7bMz3HjxeaA/hqdefault.jpg,"Der Berliner Steuerberater Peter S. will gerade aus seinem Auto steigen, als plötzlich ein Mann auf ihn zustürmt und mit einem ...",108497374,287000,22988,746,crime
Pregnant teen disappears without a trace - Crime Watch Daily Full Episode,https://i.ytimg.com/vi/7BHqyfC5OlI/hqdefault.jpg,In this episode of Crime Watch Daily: What happened to Amber Wilde?,2771836192,5360000,234640,5526,crime
WATCH LIVE: Young Thug YSL RICO Trial — GA v. Jeffery Williams et al — Day 32,https://i.ytimg.com/vi/CW30CX83RQs/hqdefault_live.jpg,"Atlanta rapper Young Thug, born Jeffery Williams, faces multiple charges under Georgia's RICO Act. Williams, believed to be the ...",3570966370,5630000,893,275,crime
The Terrifying Acid Bath Murderer (True Crime Documentary) | Real Stories,https://i.ytimg.com/vi/1gYXrgGpLJk/hqdefault.jpg,"The seemingly admirable and respectable middle-class man, John Haigh, was guilty of six grotesque murders in which each ...",1165519493,6220000,758156,8102,crime
How US Prison Gangs (Nuestra Familia) Actually Work | How Crime Works,https://i.ytimg.com/vi/qUnH3JNjayc/hqdefault.jpg,"John ""Boxer"" Mendoza is a former high-ranking member of the Nuestra Familia. He was part of the organization from 1994 to 2007 ...",4996188907,8520000,6521822,63613,crime
A Crime That Shattered Ireland: The Harrowing Case Of Ashling Murphy,https://i.ytimg.com/vi/wgZfDqgQKNk/hqdefault.jpg,"In January 2022, news about the murder of a young teacher in Tullamore, Ireland, would start to ripple through the media.",120022798,696000,627687,16820,crime
Foul play suspected after woman&#39;s mysterious camping death - Crime Watch Daily Full Episode,https://i.ytimg.com/vi/3lAGyj_9v8M/hqdefault.jpg,"In this episode of Crime Watch Daily: Lauren Agee went camping with friends, but she wouldn't return alive. Her death has raised ...",2771836192,5360000,1291004,16210,crime
He killed his neighbor for feeding deer [True Crime Documentary],https://i.ytimg.com/vi/eLtGPObt8iI/hqdefault.jpg,"The neighborhood of New Brighton in Ramsey County, Minnesota is not known for its violent crime. It is a family community.",36415992,232000,241044,8161,crime
Newlywed bride pushes husband to his death in Glacier National Park - Crime Watch Daily Full Episode,https://i.ytimg.com/vi/1Sh_cHg-VlQ/hqdefault.jpg,"In this episode of Crime Watch Daily: Days after saying ""I do,"" Jordan Linn Graham pushed her newlywed husband from a cliff, ...",2771836192,5360000,1230043,15171,crime
Marine dismembers girlfriend with machete on vacation in Panama - Crime Watch Daily Full Episode,https://i.ytimg.com/vi/yAPQZY1XHRI/hqdefault.jpg,"In this episode of Crime Watch Daily: A marine does the unthinkable to his girlfriend while on vacation. Plus, a judge takes the law ...",2771836192,5360000,964210,13922,crime
Mom and son missing after husband&#39;s secret life as male escort uncovered  - Crime Watch Daily,https://i.ytimg.com/vi/myaOzgPlAvU/hqdefault.jpg,In this episode of Crime Watch Daily: What happened to Susan Osborne and her son Evan Chartrand?,2771836192,5360000,2181024,28407,crime
A Case With The Most INSANE Twist You&#39;ve Ever Heard | Documentary,https://i.ytimg.com/vi/1P-CPl_iXx4/hqdefault.jpg,"In today's true crime documentary, we're covering the case of Annie Kasprazak and analyzing it from an educational legal and ...",137160985,903000,4169604,53583,crime
ডবল মার্ডার | Double Murder | Rishra Thana | Police Files | 2024 Bengali Crime Serial | Aakash Aath,https://i.ytimg.com/vi/rIjug5NllRo/hqdefault.jpg,PoliceFiles #AakashAath #trending Synopsis :- 'Police Filez' is a real life based programme which shows fictional drama of real ...,1081943832,2220000,151474,1291,crime
Prime Crime: The Young Mom and Her Deadly Night Out,https://i.ytimg.com/vi/B1s-zJVHsIg/hqdefault.jpg,Nicole VanderHeyden was a loving mother and devoted teacher — her friends said that her smile would light up any room.,3570966370,5630000,1087161,11731,crime
